id,waferMap,dieSize,lotName,waferIndex,waferMapDim,failureNum,trainTestNum
48,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]",2460.0,lot2,24.0,"(53, 58)",2,0
49,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]",2460.0,lot2,25.0,"(53, 58)",0,0
73,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]",2460.0,lot3,24.0,"(53, 58)",4,0
100,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]",2460.0,lot5,1.0,"(53, 58)",3,0
134,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]",2460.0,lot6,10.0,"(53, 58)",6,0
186,"[[0 0 0 0 0 0 0 0 0 0 2 2 2 1 1 2 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 2 1 2 1 1 2 1 2 1 1 2 2 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 1 1 1 1 1 2 1 1 1 2 1 1 1 1 0 0 0 0 0 0]
 [0 0 0 0 2 1 1 1 1 1 1 2 1 1 2 1 1 1 1 2 1 1 0 0 0 0]
 [0 0 0 1 2 1 1 1 1 1 1 1 1 1 2 1 1 2 2 1 1 2 2 0 0 0]
 [0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 0 0]
 [0 0 1 1 1 1 1 1 2 2 1 1 2 1 1 1 2 2 1 2 2 1 1 1 0 0]
 [0 1 1 1 1 1 1 2 2 1 2 1 1 1 1 1 2 2 2 2 1 1 1 1 2 0]
 [0 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 0]
 [1 2 1 1 1 1 1 1 1 1 1 1 1 2 1 2 2 2 2 2 1 1 1 1 1 1]
 [2 2 1 1 2 1 1 1 1 1 1 1 1 1 2 2 1 1 2 1 2 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1 2 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 1]
 [1 1 1 1 1 1 1 1 1 2 1 1 1 2 1 1 1 1 1 2 1 1 1 1 1 1]
 [2 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 2 2 1 2 1 1 1 1 1]
 [2 1 1 1 1 1 1 2 1 2 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 2]
 [2 2 2 1 1 1 2 1 1 1 1 2 1 1 1 1 1 2 2 1 2 1 2 1 2 2]
 [2 2 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 2 2]
 [0 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 0]
 [0 2 2 1 2 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 1 1 2 2 2 0]
 [0 0 2 1 1 2 1 1 2 1 1 1 1 1 1 1 1 1 2 1 1 2 2 2 0 0]
 [0 0 2 2 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 2 2 0 0]
 [0 0 0 2 2 2 2 1 1 1 2 1 1 1 2 1 1 1 1 2 2 2 2 0 0 0]
 [0 0 0 0 2 2 1 1 1 1 1 1 2 1 2 1 1 1 1 2 2 2 0 0 0 0]
 [0 0 0 0 0 2 2 2 1 1 1 1 1 1 1 1 1 2 2 2 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 2 2 2 2 2 2 2 2 2 2 2 2 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 2 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0]]",533.0,lot8,12.0,"(26, 26)",3,0
264,"[[0 0 0 0 0 0 0 0 0 0 1 2 1 2 1 1 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 2 2 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 1 2 1 1 1 2 1 1 1 1 1 2 2 1 0 0 0 0 0 0]
 [0 0 0 0 2 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1 0 0 0 0]
 [0 0 0 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 2 0 0 0]
 [0 0 2 1 1 1 2 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 2 0 0]
 [0 0 2 1 1 1 2 1 1 1 2 1 2 1 1 1 1 1 1 1 1 1 1 1 0 0]
 [0 1 1 2 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 0]
 [0 1 2 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 2 1 1 1 1 1 1 0]
 [1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1]
 [1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 1 1 1 1 1 2 1 1 1 2 1]
 [2 1 1 1 2 1 1 2 1 1 1 1 2 1 1 1 1 1 1 2 1 1 1 1 1 1]
 [1 1 1 2 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1]
 [1 2 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1 1]
 [1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2]
 [1 1 1 1 1 1 1 1 2 1 1 2 1 1 1 2 1 1 1 1 1 2 1 2 2 1]
 [1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2]
 [0 1 1 1 1 1 2 1 1 1 1 2 1 1 2 2 1 1 1 1 2 1 1 2 1 0]
 [0 1 1 1 2 2 2 1 1 1 2 1 1 2 2 1 1 2 1 2 1 1 1 1 2 0]
 [0 0 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 0 0]
 [0 0 1 1 1 1 1 1 1 1 1 2 1 1 1 1 2 2 2 2 2 1 1 1 0 0]
 [0 0 0 1 1 1 2 1 1 1 2 1 1 2 1 2 2 1 1 1 1 1 2 0 0 0]
 [0 0 0 0 2 1 1 1 2 1 1 1 1 2 1 1 2 1 1 2 1 1 0 0 0 0]
 [0 0 0 0 0 1 1 2 1 2 1 1 2 1 2 2 1 1 2 1 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 1 2 2 2 1 2 1 2 2 2 2 2 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 1 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0]]",533.0,lot11,15.0,"(26, 26)",2,0
377,"[[0 0 0 0 0 0 0 0 0 0 2 1 1 2 2 2 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 2 1 2 2 2 2 1 1 1 1 1 2 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 2 2 2 2 2 1 1 1 2 1 1 1 2 1 0 0 0 0 0 0]
 [0 0 0 0 2 1 2 2 2 2 2 2 2 2 1 2 1 1 1 1 2 1 0 0 0 0]
 [0 0 0 1 1 1 2 1 1 2 2 2 2 2 1 2 1 2 1 1 2 1 2 0 0 0]
 [0 0 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 0 0]
 [0 0 2 2 1 1 1 1 1 2 2 1 1 1 2 2 1 1 1 1 2 2 1 1 0 0]
 [0 1 1 2 2 1 1 1 2 1 1 1 1 1 1 2 1 2 2 1 1 1 1 1 1 0]
 [0 1 1 1 2 2 1 1 1 1 2 1 1 1 2 1 1 1 1 1 1 2 1 1 1 0]
 [1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 1 1 1 1]
 [1 1 2 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
 [1 2 1 2 1 1 2 1 1 1 1 1 1 2 1 1 1 1 2 1 1 1 1 1 1 1]
 [2 1 1 1 1 1 1 2 1 1 1 1 2 1 1 1 1 1 1 1 2 1 2 2 1 1]
 [1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 2 1 1 1 1 1 1]
 [2 1 1 2 1 1 2 1 1 1 1 1 1 2 1 1 1 1 1 1 1 2 1 1 1 1]
 [1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
 [2 1 1 1 1 2 1 1 1 1 2 1 1 1 1 1 2 2 1 1 1 1 1 1 1 2]
 [0 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 2 1 1 1 0]
 [0 2 1 1 1 2 2 2 1 1 1 1 2 1 1 1 1 2 1 1 1 1 1 1 2 0]
 [0 0 2 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0]
 [0 0 2 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 0 0]
 [0 0 0 2 2 2 1 1 2 1 1 1 1 2 1 1 2 2 1 1 1 1 2 0 0 0]
 [0 0 0 0 2 1 1 2 1 1 2 1 1 2 1 1 1 1 1 2 1 1 0 0 0 0]
 [0 0 0 0 0 1 1 1 1 1 1 1 1 2 2 2 2 1 1 1 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 2 1 1 1 1 1 1 1 2 1 1 2 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 2 2 1 1 2 2 0 0 0 0 0 0 0 0 0 0]]",533.0,lot16,3.0,"(26, 26)",2,0
381,"[[0 0 0 0 0 0 0 0 0 0 2 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 2 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 1 1 1 1 1 1 2 1 1 1 1 1 2 1 0 0 0 0 0 0]
 [0 0 0 0 2 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 0 0 0 0]
 [0 0 0 1 1 2 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 0 0 0]
 [0 0 2 1 1 1 1 1 2 1 1 1 2 1 1 1 1 1 2 2 1 1 1 2 0 0]
 [0 0 2 2 1 1 1 1 1 2 1 1 1 1 1 2 1 1 1 1 1 1 2 1 0 0]
 [0 1 2 1 1 1 2 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 2 1 0]
 [0 2 2 2 2 2 1 1 1 1 1 1 1 1 2 2 1 2 1 2 1 1 1 2 1 0]
 [1 1 2 2 1 2 1 1 1 1 1 2 1 1 2 1 1 2 1 2 2 1 1 2 1 1]
 [2 1 1 2 2 1 2 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 2 1 1 1]
 [1 2 1 2 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 1 1]
 [1 1 2 2 2 1 1 2 1 1 1 2 1 2 1 1 2 2 1 1 1 2 2 1 1 2]
 [2 2 2 1 2 1 2 1 1 2 1 1 2 1 2 1 1 1 1 1 2 1 1 1 1 1]
 [2 2 2 2 1 2 1 2 2 1 1 1 2 1 1 1 1 1 2 2 1 1 1 1 1 1]
 [2 2 2 1 2 1 1 2 1 2 1 2 2 2 1 1 1 1 2 2 2 2 1 1 2 2]
 [2 2 2 1 2 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 2 1 1 1 1 2]
 [0 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 0]
 [0 2 1 1 1 1 2 1 2 1 2 1 1 1 1 2 1 1 1 1 1 1 1 1 2 0]
 [0 0 1 1 1 1 2 2 1 2 1 1 1 1 2 1 1 1 1 1 2 1 1 1 0 0]
 [0 0 2 2 1 2 2 1 2 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 0 0]
 [0 0 0 2 1 2 2 1 1 1 1 2 1 2 2 2 1 1 1 1 1 1 2 0 0 0]
 [0 0 0 0 2 1 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 0 0 0 0]
 [0 0 0 0 0 1 2 1 1 1 1 1 2 1 1 2 1 1 2 1 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 2 1 1 1 1 2 1 2 2 2 1 2 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 2 1 1 1 1 2 0 0 0 0 0 0 0 0 0 0]]",533.0,lot16,7.0,"(26, 26)",2,0
397,"[[0 0 0 0 0 0 0 0 0 0 2 1 1 2 2 2 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 2 1 1 1 1 1 1 1 1 1 2 2 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 1 1 1 1 2 2 1 1 1 2 2 1 1 2 0 0 0 0 0 0]
 [0 0 0 0 2 2 2 1 1 1 1 1 2 2 1 1 1 1 1 2 1 1 0 0 0 0]
 [0 0 0 2 2 1 1 1 2 2 2 1 1 1 1 1 2 1 1 1 1 2 1 0 0 0]
 [0 0 2 1 1 1 1 1 1 1 2 1 2 1 1 1 1 1 1 2 1 2 2 1 0 0]
 [0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 1 1 0 0]
 [0 1 1 2 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 2 1 2 0]
 [0 1 2 1 1 2 1 1 1 1 1 2 1 1 1 1 2 2 1 1 1 1 2 2 2 0]
 [1 1 1 2 1 1 1 1 2 2 2 1 2 2 1 1 1 1 1 1 2 2 1 1 2 1]
 [2 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 2 1 1 1 1 1 1 1 1 1]
 [1 1 2 1 2 2 1 1 1 2 1 2 1 2 1 2 1 1 2 1 1 1 1 2 1 1]
 [1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 2 1 1 2 2 2 1 2 1 2]
 [1 1 1 1 1 1 1 1 1 1 1 2 1 2 2 2 2 1 2 1 1 2 2 2 2 2]
 [1 2 1 1 2 1 1 1 1 1 1 1 2 2 2 1 2 1 1 2 1 2 2 2 1 2]
 [2 1 1 1 2 1 1 1 2 2 1 1 1 1 1 2 2 1 1 2 2 2 2 2 2 2]
 [1 1 1 1 2 1 1 1 2 1 1 2 1 2 2 1 1 1 1 1 2 2 2 2 1 2]
 [0 1 1 1 1 1 1 1 2 1 1 1 2 1 1 2 2 2 2 2 2 2 2 2 2 0]
 [0 2 1 1 1 1 1 1 1 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 0]
 [0 0 1 1 1 1 2 1 1 1 1 1 1 2 2 1 2 2 2 2 2 2 2 2 0 0]
 [0 0 2 1 2 2 1 1 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 0 0]
 [0 0 0 2 1 2 2 1 1 1 2 1 1 1 2 2 2 2 2 2 2 2 2 0 0 0]
 [0 0 0 0 2 1 1 1 1 1 1 2 1 2 2 2 2 2 2 2 2 2 0 0 0 0]
 [0 0 0 0 0 2 1 1 2 2 1 2 2 2 2 2 2 2 2 2 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 2 2 2 1 2 1 1 2 2 2 2 2 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 2 1 2 2 2 2 0 0 0 0 0 0 0 0 0 0]]",533.0,lot16,23.0,"(26, 26)",2,0
446,"[[0 0 0 0 0 0 0 0 0 0 2 2 2 1 2 2 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 2 1 1 1 1 1 1 1 1 1 1 2 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 2 2 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0]
 [0 0 0 0 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 0 0 0 0]
 [0 0 0 1 1 2 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1 2 2 0 0 0]
 [0 0 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 2 0 0]
 [0 0 1 1 1 2 1 1 1 1 1 2 1 1 1 1 1 2 1 1 1 2 1 1 0 0]
 [0 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 2 1 2 2 1 0]
 [0 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1 2 1 1 0]
 [2 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 2]
 [2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 2 1 1 1]
 [1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 2 1 1 1 1 1 1 1 1 1]
 [2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 2 1 1 1]
 [1 1 1 2 1 1 1 2 1 1 1 2 1 2 2 1 1 1 1 1 1 1 2 2 1 1]
 [1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
 [2 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 2 1 1 1 1 2]
 [0 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 0]
 [0 1 1 1 1 1 1 1 1 2 2 1 2 1 1 2 1 1 1 1 1 2 1 1 1 0]
 [0 0 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 2 1 1 1 1 1 0 0]
 [0 0 2 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 0 0]
 [0 0 0 2 1 1 1 1 1 1 2 2 2 2 2 2 2 1 2 1 1 1 1 0 0 0]
 [0 0 0 0 2 1 1 1 1 2 1 2 2 2 2 2 2 1 1 2 2 1 0 0 0 0]
 [0 0 0 0 0 2 1 1 2 1 2 2 2 2 2 2 2 2 1 1 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 1 2 1 2 2 2 1 2 1 2 2 2 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 1 1 1 2 1 1 0 0 0 0 0 0 0 0 0 0]]",533.0,lot18,22.0,"(26, 26)",2,0
477,"[[0 0 0 0 0 0 0 0 0 0 2 1 2 2 2 2 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 2 2 2 2 1 2 2 2 1 1 1 2 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 2 2 2 2 2 2 2 2 2 2 1 1 1 2 0 0 0 0 0 0]
 [0 0 0 0 2 2 1 2 1 2 2 2 1 2 2 1 1 2 2 2 2 1 0 0 0 0]
 [0 0 0 2 2 2 1 2 1 1 1 2 2 2 2 1 1 2 1 2 1 2 2 0 0 0]
 [0 0 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 2 1 1 1 0 0]
 [0 0 1 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 0 0]
 [0 1 2 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 2 2 1 1 1 0]
 [0 1 2 1 1 1 1 1 1 2 1 2 1 1 1 1 2 2 1 1 1 2 1 1 1 0]
 [1 1 1 1 1 1 1 1 2 2 2 1 1 1 1 1 1 1 2 2 1 2 1 1 2 1]
 [1 1 1 1 2 1 1 1 2 1 1 2 1 1 1 2 2 1 1 1 1 1 1 2 1 2]
 [2 1 1 1 1 1 2 1 1 1 1 1 2 1 1 2 1 1 1 2 1 1 1 1 1 2]
 [1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 1 1 2 2]
 [2 2 1 1 1 1 1 1 1 1 2 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1]
 [1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 2 2]
 [1 2 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1]
 [2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1]
 [0 1 1 2 1 2 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 2 1 0]
 [0 2 1 1 1 1 1 1 1 1 1 2 1 1 1 1 2 1 1 1 1 1 1 1 2 0]
 [0 0 1 1 1 1 1 1 1 1 1 2 2 2 1 1 1 1 1 2 1 1 1 1 0 0]
 [0 0 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0]
 [0 0 0 2 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 0 0 0]
 [0 0 0 0 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 2 1 2 0 0 0 0]
 [0 0 0 0 0 1 1 1 1 2 1 1 1 1 1 1 1 2 1 1 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 1 1 2 1 1 1 2 1 1 1 2 2 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 2 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0]]",533.0,lot20,3.0,"(26, 26)",2,0
